,session_key,meeting_key,driver_number,date,position
419,9472,1229,27,2024-03-02T16:13:14.889000+00:00,17
420,9472,1229,31,2024-03-02T16:13:14.889000+00:00,16
421,9472,1229,10,2024-03-02T16:13:18.480000+00:00,17
422,9472,1229,27,2024-03-02T16:13:18.480000+00:00,18
423,9472,1229,14,2024-03-02T16:16:07.645000+00:00,10
424,9472,1229,24,2024-03-02T16:16:07.645000+00:00,11
425,9472,1229,10,2024-03-02T16:16:39.522000+00:00,18
426,9472,1229,27,2024-03-02T16:16:39.522000+00:00,17
427,9472,1229,16,2024-03-02T16:18:36.521000+00:00,4
428,9472,1229,63,2024-03-02T16:18:36.521000+00:00,5
